2024-07-04 19:13:00.1800 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100580180; nextExpiration=1720100580166; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:39.5390 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100619539; nextExpiration=1720100619528; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:40.5400 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100620540; nextExpiration=1720100620539; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:41.5400 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100621540; nextExpiration=1720100621540; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:42.5410 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100622541; nextExpiration=1720100622540; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:43.5450 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100623545; nextExpiration=1720100623541; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:44.5590 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100624559; nextExpiration=1720100624545; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:45.5730 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100625573; nextExpiration=1720100625559; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:46.4480 [Catalina-utility-1] DEBUG o.a.catalina.session.ManagerBase - Start expire sessions StandardManager at 1720100626448 sessioncount 0
2024-07-04 19:13:46.4480 [Catalina-utility-1] DEBUG o.a.catalina.session.ManagerBase - End expire sessions StandardManager processingTime 0 expired sessions: 0
2024-07-04 19:13:46.5890 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100626589; nextExpiration=1720100626573; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:47.6010 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100627601; nextExpiration=1720100627589; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:48.6020 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100628602; nextExpiration=1720100628601; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:48.7120 [HikariPool-1 housekeeper] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
2024-07-04 19:13:48.7120 [HikariPool-1 housekeeper] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Fill pool skipped, pool has sufficient level or currently being filled.
2024-07-04 19:13:49.6030 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100629603; nextExpiration=1720100629602; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:50.6040 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100630604; nextExpiration=1720100630603; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:51.6190 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100631619; nextExpiration=1720100631604; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:52.6270 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100632626; nextExpiration=1720100632619; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:53.6350 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100633635; nextExpiration=1720100633626; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:54.6350 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100634635; nextExpiration=1720100634635; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:55.6360 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100635636; nextExpiration=1720100635635; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:56.6390 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100636639; nextExpiration=1720100636636; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:57.6400 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100637640; nextExpiration=1720100637639; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:58.6430 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100638643; nextExpiration=1720100638640; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:59.6570 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100639657; nextExpiration=1720100639643; keyCount=0; hasEvents=false; eval=false
